KATALOG RONGGOLAWE;;;;;;;;;;;;
;;;;;;;;;;;;
HARI;:  JUM'AT, 31 MEI 2024;;;;;;;;;;;
;;;;;;;;;;;;
NO.;NAMA BARANG;MASUK;KET;KELUAR; HARGA JUAL ; HARGA JUAL KESELURUHAN ;;;;;;
81;KUAS ETERNA 2 IN;14;PCS;1; 10.000 ; 10.000 ;;;;;;
82;KUAS ETERNA 2,5 IN;15;PCS;1; 13.500 ; 13.500 ;;;;;;
83;KUAS ETERNA 3 IN;16;PCS;4; 15.500 ; 62.000 ;;;;;;
84;KUAS GAMBAR 4 IN;12;PCS;; 4.000 ; - ;;;;;;
85;KUAS GAMBAR 6 IN;12;PCS;; 5.000 ; - ;;;;;;
86;KUAS GAMBAR 8 IN ;12;PCS;; 6.000 ; - ;;;;;;
87;"KUAS ROL KAPAL KECIL 4""";26;PCS;1; 12.000 ; 12.000 ;;;;;;
88;KUNCI FERZA ABU ABU;12;PCS;3; 15.000 ; 45.000 ;;;;;;
89;KUNCI LACI 808 KECIL;18;PCS;4; 4.500 ; 18.000 ;;;;;;
90;KUNCI LACI 808;19;PCS;2; 25.000 ; 50.000 ;;;;;;
91;LAMPU LUBY 10 W;10;PCS;;18.000; - ;;;;;;
92;LAMPU LUBY 12 W;10;PCS;; 23.000 ; - ;;;;;;
93;LAMPU LUBY 18 W;5;PCS;2; 30.000 ; 60.000 ;;;;;;
94;LAMPU LUBY 24 W;10;PCS;; 45.000 ; - ;;;;;;
95;LAMPU LUBY 5 W;10;PCS;; 15.000 ; - ;;;;;;
96;LAMPU LUBY 7 W;10;PCS;; 18.000 ; - ;;;;;;
97;LEM PIPA RUGLUE  (60 GR);20;PCS;2; 19.000 ; 38.000 ;;;;;;
98;LEM PUTIH RAJAWALI 400G;48;PCS;2; 20.000 ; 40.000 ;;;;;;
99;LEM PUTIH RAJAWALI 800G;24;PCS;1; 29.000 ; 29.000 ;;;;;;
100;LEPAN PVC KOTAK;24;PCS;; 9.000 ; - ;;;;;;
101;MATA CIRCUREL ESSEN 4 T24;6;PCS;; 45.000 ; - ;;;;;;
102;MATA CIRCUREL ESSEN 4 T40;6;PCS;; 50.000 ; - ;;;;;;
103;OBENG TESPEN BOLAK BALIK;20;PCS;; 14.000 ; - ;;;;;;
104;OPER SOCK AW 3\4X1\2;90;PCS;; 3.000 ; - ;;;;;;
105;"OVERPAL 4""";12;PCS;; 8.500 ; - ;;;;;;
106;"OVERPAL 5""";12;PCS;; 9.500 ; - ;;;;;;
107;PACUL GG KAYU;22;PCS;; 33.500 ; - ;;;;;;
108;PAKU BETON 2 IN 5 CM;10;DUS;; 17.000 ; - ;;;;;;
109;PAKU BETON 50MM PUTIH;17;DUS;; 32.500 ; - ;;;;;;
110;PAKU RIVET 450;1;DUS;; 144.900 ; - ;;;;;;
111;PAKU RIVET 550;1;DUS;; 214.000 ; - ;;;;;;
112;PARALON LISTRIK 5\8;25;BTG;; 10.500 ; - ;;;;;;
113;PLITURT BOYO 607;3;PCS;; 85.000 ; - ;;;;;;
114;RESIBON WD;200;PCS;7; 6.000 ; 42.000 ;;;;;;
